Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Яркий мир,,Мебель на заказ; Мебель для кухни; Корпусная мебель,"проспект Азаттык, 46",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:30-13:00, 14:00-18:30; Вт: 09:30-13:00, 14:00-18:30; Ср: 09:30-13:00, 14:00-18:30; Чт: 09:30-13:00, 14:00-18:30; Пт: 09:30-13:00, 14:00-18:30; Сб: 09:30-16:00",+05:00,5.0,5,87715221500,,,,,http://www.nammebel.kz,,https://instagram.com/nammebel.kz,,,https://wa.me/77715221500,,,,,,47.097367,51.923642,https://2gis.com/firm/70000001034786650,branch
Версаль,мебельный салон,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мягкая мебель; Мебельные магазины; Детская мебель; Ковры; Матрасы; Ортопедические товары; Офисная мебель; Плетёные изделия; Сувениры,"улица Латиф Хамиди, 5",2 этаж,,Атырау м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,25,87019037712,87059543948,,,,,,https://instagram.com/versal_mebel_atyrau,,,https://wa.me/77059543948,https://wa.me/77019037712,,,,,47.14134,51.896306,https://2gis.com/firm/70000001035677520,branch
Tekled Каспий Свет,магазин электротоваров и металлической мебели,Мебель на заказ; Электроустановочная продукция; Электротехника; Светотехника; Кабель / Провод; Электронные компоненты; Детская мебель; Офисная мебель; Садово-парковая мебель,"улица Курмангазы, 46",2-3 этаж,,Жеруйык м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-18:00; Вс: 10:00-17:00,+05:00,4.1,94,87027414950,87717182583,87717182686,atyrau@teksan.biz,,http://www.tekledgroup.com/kk/,http://kaspisvet.2gis.biz/,https://instagram.com/tekled.atyrau,,,https://wa.me/77027414950,https://wa.me/77715065660,,,,,47.110003,51.885085,https://2gis.com/firm/70000001034885147,branch
Haitekmebel,компания по заказу мебели,Мебель на заказ; Мягкая мебель; Детская мебель; Мебель для кухни; Мебельные магазины,"улица Абая, 26/2",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-18:30; Вт: 10:00-18:30; Ср: 10:00-18:30; Чт: 10:00-18:30; Пт: 10:00-18:30; Сб: 10:00-18:30; Вс: 10:00-18:30,+05:00,5.0,3,87064097125,,,,,,,https://instagram.com/haitekmebel,,,https://wa.me/77064097125,,,,,,47.10426,51.934228,https://2gis.com/firm/70000001097163729,branch
MEBEL_SKLAD_ATYRAU,,Мебель на заказ; Мягкая мебель; Мебельные магазины; Корпусная мебель; Матрасы,,,,,,,Атырау городская администрация,Атырауская область,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,5.0,10,87784949702,,,,,,,https://instagram.com/mebel_sklad_atyrau,,,https://wa.me/77784949702,,,,,,47.028335,51.906331,https://2gis.com/firm/70000001075864420,branch
Evita,магазин кухонной мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебельные магазины; Бытовая техника; Мебель для ванных комнат,"Георгия Канцева улица, 1",13 бутик; 1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,14,87472992546,87020318236,,evita_atirau@mail.ru,,,,https://instagram.com/kuhni_evita_atyrau,,,https://wa.me/77472992546,https://wa.me/77020318236,,,,,47.107265,51.935112,https://2gis.com/firm/70000001035050619,branch
Алина и К,мебельный салон,Корпусная мебель; Мягкая мебель; Мебель для кухни; Мебельные магазины; Мебель на заказ,"проспект Зейноллы Кабдолова, 1в",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,10,87759933624,87122241568,,alina_02_2004@mail.ru,,,,https://instagram.com/alinak_kz,,,https://wa.me/77759933624,,,,,,47.083456,51.934028,https://2gis.com/firm/70000001035854828,branch
Центр матрасов Атырау,компания по продаже матрасов и кроватей,Корпусная мебель; Матрасы; Домашний текстиль; Кованые изделия; Ортопедические товары,"улица Сырым Датова, 54",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,0.0,1,7272,,,callcenter@centersna.kz,,http://centermatrasov.kz,,https://instagram.com/centermatrasov,,,https://wa.me/77088887272,,,,,,47.104454,51.944258,https://2gis.com/firm/70000001088773521,branch
SЭT LINE-Салауат,мебельный салон,Мебельные магазины; Корпусная мебель; Мягкая мебель; Мебель для кухни; Матрасы; Детская мебель,"улица Сырым Датова, 171",,,Мясокомбинат м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.4,15,87010661414,,,set.line@bk.ru,,http://www.setline.kz,,https://instagram.com/salauat_mebel_atyrau,,,https://wa.me/77010661414,,,,,,47.118261,51.959478,https://2gis.com/firm/70000001046635512,branch
BIRLIK,гипермаркет,Корпусная мебель; Стройматериалы; Сантехника; Входные двери; Межкомнатные двери; Светотехника; Обои; Сейфы; Строительное оборудование; Электроинструмент; Садово-парковая мебель; Керамическая плитка; Сухие строительные смеси; Строительные гипермаркеты; Мягкая мебель; Гидромассажное оборудование; Печи / камины для помещений; Аксессуары для ванных комнат; Детская мебель; Керамогранит; Напольные покрытия; Биотуалеты; Мебель для кухни; Мебель для ванных комнат; Матрасы; Лаки / Краски; Офисная мебель; Пиломатериалы / Лесоматериалы; Звукоизоляционные материалы; Мебель на заказ; Комплектующие для дверей; Крепёж; Кровельные материалы; Огнеупорные материалы; Автоматические двери; Резиновые покрытия; Вторичные стройматериалы; Гидроизоляционные материалы; Кабель / Провод; Малярный инструмент; Ремонт / установка сантехнического оборудования; Садовый инвентарь; Товары для отопления / водоснабжения / канализации; Теплоизоляционные материалы; Мебельные магазины,"трасса Атырау-Доссор, ст104",,,Жулдыз м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.8,208,87002275946 (двери и ламинат),,,a.tukeshev@tdb.kz,,http://birlik.2gis.biz/,,https://instagram.com/gipermarket_birlik,https://facebook.com/hypermarketbirlik,,https://wa.me/77777393939,,,,,,47.152954,51.99173,https://2gis.com/firm/70000001035510256,branch
Даяна,мебельный магазин,Мягкая мебель; Корпусная мебель; Матрасы; Детское игровое оборудование; Садово-парковая мебель; Мебельные магазины,"проспект Султана Бейбарыса, 434","2, 3 этаж",,Самал м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,15,87002841726,,,,,http://dayanamebelatyrau.2gis.biz,,https://instagram.com/dayana_mebel_atyrau,https://facebook.com/DAYANAmebel,,https://wa.me/77002841726,,,,,,47.11953,51.87299,https://2gis.com/firm/70000001060266678,branch
Zlata,компания по изготовлению мебели на заказ,Мебель на заказ; Мебель для кухни; ЛДСП / ДВПО / МДФ; Мебельная фурнитура; Стройматериалы; Распиловка древесины,"проспект Мухтара Ауэзова, 78/4",склад,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-16:00",+05:00,4.5,7,87011933231,,,,,,,https://instagram.com/mebel_zlata_atyrau,,,https://wa.me/77011933231,,,,,,47.080371,51.91695,https://2gis.com/firm/70000001068072755,branch
Барыс,торговый дом,Мебель на заказ; Мягкая мебель; Корпусная мебель; Офисная мебель; Мебель для кухни; Мебель для ванных комнат; Холодильное оборудование; Мебель для общественного питания; Матрасы; Сантехника,"улица Сырым Датова, 152",1-3 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,2,87752557213,87122300939,,,,,,https://instagram.com/mebel_atyrau_barys,,,https://wa.me/77752557213,,,,,,47.112881,51.959937,https://2gis.com/firm/70000001035446251,branch
Алина и К,мебельный салон,Корпусная мебель; Мягкая мебель; Матрасы; Мебельные магазины; Мебель на заказ,"улица Сырым Датова, 58",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.3,20,87122520326,87759933624,,alina_02_2004@mail.ru,,,,https://instagram.com/alinak_kz,,,https://wa.me/77759933624,,,,,,47.104841,51.945384,https://2gis.com/firm/70000001035516250,branch
Алина и К,мебельный салон,Корпусная мебель; Мягкая мебель; Детская мебель; Матрасы; Мебель на заказ; Мебель для ванных комнат; Мебель из стекла; ЛДСП / ДВПО / МДФ; Офисная мебель,"улица Каршымбай Ахмедияров, 18",2 этаж,,Балыкши м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,7,87122241568,,,alina_02_2004@mail.ru,,,,https://instagram.com/alinak_kz,,,https://wa.me/77759933624,,,,,,47.077224,51.879944,https://2gis.com/firm/70000001039260143,branch
Шеф Кухни,студия кухонной мебели,Мебель на заказ; Мебель для кухни,"проспект Султана Бейбарыса, 244",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.8,9,87015286464,87015287474,,,,http://shefkuhni.kz,,https://instagram.com/shefkuhni_atyrau,,,https://wa.me/77015287474,https://wa.me/77015286464,,,,,47.117828,51.907975,https://2gis.com/firm/70000001052073425,branch
ASEL,студия мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни,"проспект Султана Бейбарыса, 464в",,,Самал-2 м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.9,43,87784959556,,,,,http://asel-mebel.kz,,https://instagram.com/atyrau_mebel2015,,,https://wa.me/77784959556,,,,https://t.me/+77784959556,,47.120233,51.85892,https://2gis.com/firm/70000001035251335,branch
Trendy Home,мебельный салон,Мебель на заказ; Корпусная мебель; Межкомнатные двери; Мебель для кухни,"улица Марата Темирханова, 1",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,5.0,1,87028919929,,,,,,,https://instagram.com/trendyhome_atyrau,,,https://wa.me/77028919929,,,,,,47.111982,51.926783,https://2gis.com/firm/70000001062849389,branch
Организация по изготовлению мебели на заказ,,Мебель на заказ; Мебельная фурнитура; Корпусная мебель,"улица Юрия Гагарина, 9",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 09:00-13:00, 14:00-19:00; Вт: 09:00-13:00, 14:00-19:00; Ср: 09:00-13:00, 14:00-19:00; Чт: 09:00-13:00, 14:00-19:00; Пт: 09:00-13:00, 14:00-19:00; Сб: 09:00-13:00, 14:00-19:00",+05:00,4.5,16,87025105758,87002529815,87774363988,,,,,,,,https://wa.me/77002529815,https://wa.me/77774363988,,,,,47.112578,51.91284,https://2gis.com/firm/70000001035263558,branch
Мария,студия по изготовлению мебели,Мебель на заказ; Мебель для кухни; Мебель для ванных комнат; Мебельные магазины; Корпусная мебель; Детская мебель; Дизайн интерьеров; Офисная мебель; Мягкая мебель,"Георгия Канцева улица, 1",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 12:00-19:00,+05:00,4.8,15,88001003131 (горячая линия: круглосуточно),87756053543,,pugachev.marya@gmail.com,marya.atyrau@gmail.com,http://www.marya.ru,http://atyrau.marya.ru,https://instagram.com/kuhni_marya_atyrau,,https://vk.com/marya,https://wa.me/77756053543,,,,,https://youtube.com/user/fabrikamarya,47.106832,51.934232,https://2gis.com/firm/70000001035046285,branch
