Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Lion,барбершоп,Барбершопы,"Бактыгерея Кулманова улица, 154",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,"Пн: 10:00-15:00, 16:00-20:00; Вт: 10:00-15:00, 16:00-20:00; Ср: 10:00-15:00, 16:00-20:00; Чт: 10:00-15:00, 16:00-20:00; Пт: 10:00-15:00, 16:00-20:00; Сб: 10:00-15:00, 16:00-20:00; Вс: 10:00-15:00, 16:00-20:00",+05:00,4.9,105,87075962655,,,,http://n146370.alteg.io/,,https://instagram.com/lion.barbershop.atyrau,https://facebook.com/LionBarbershop,https://wa.me/77075962655,,,,,,,47.105458,51.888109,https://2gis.com/firm/70000001035099711,branch
NoMad Barber Atyrau,,Барбершопы,"проспект Каныша Сатпаева, 24",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,614,87023300034,,,nomadbarber2018@gmail.com,http://n772128.alteg.io/,,https://instagram.com/nomadbarber_atyrau,,https://wa.me/77023300034,,,,,,,47.10484,51.907393,https://2gis.com/firm/70000001034799693,branch
Egoist,барбершоп,Барбершопы,"микрорайон Нурсая, 73/1",1 этаж,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.8,180,87021973230,,,,http://b602916.alteg.io/company/569687/personal/menu?referrer=http:%2F%2Flink.2gis.ru%2F&o=,,https://instagram.com/egoist__barbershop,,https://wa.me/77021973230,,,,,,,47.116892,51.855845,https://2gis.com/firm/70000001069405014,branch
Thaila Boutique Spa,релакс-центр,SPA-процедуры; Массажист,"проспект Абулхайр-хана, 69 Блок 2",1 этаж,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,313,87022969426,,,thailaspa2024@gmail.com,http://thailaspa.kz,,https://instagram.com/thaila_spa,,https://wa.me/77022969426,,,,https://t.me/+77022969426,,,47.107919,51.860815,https://2gis.com/firm/70000001083234409,branch
Sulo Spa,комплекс ,SPA-процедуры; Массажист; Бани / Сауны; Фитнес-клубы,"улица Отешкали Атамбаев, 7Б/4",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.8,168,87019083107 (регистратура),,,,,,https://instagram.com/sulo_spa,,https://wa.me/77019083107,,,,,,,47.08803,51.921281,https://2gis.com/firm/70000001081251432,branch
LUX ESTHETIC BEAUTY,центр красоты,Ногтевые студии; Визажисты; Косметолог; Парикмахерские; Оформление бровей и ресниц; Массажист; Эпиляция,"проспект Султана Бейбарыса, 455",,,Нурсая м-н,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.4,100,87023265455,,,,,,https://instagram.com/lux.esthetic_atyrau,,https://wa.me/77023265455,,,,,,,47.118882,51.858495,https://2gis.com/firm/70000001041861205,branch
Insarai beauty salon,салон красоты,Ногтевые студии; Визажисты; Оформление бровей и ресниц; Эпиляция; Парикмахерские,"улица Салтанат Балгымбаев, 67",,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,60,87750053705,,,,,,https://instagram.com/insarai.beauty,,https://wa.me/77750053705,,,,,,,47.112588,51.914788,https://2gis.com/firm/70000001085337941,branch
Phoenix,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Визажисты; Косметолог; Эпиляция,"проспект Каныша Сатпаева, 43а",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,59,87002479726,,,,,,https://instagram.com/phoenix.beauty.atyrau,,https://wa.me/77002479726,,,,,,,47.106259,51.883824,https://2gis.com/firm/70000001086793972,branch
BodyLab,центр косметологии,Косметолог; Массажист; Эпиляция; SPA-процедуры; Пластическая хирургия,"Бактыгерея Кулманова улица, 144",2 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,200,87759967966,,,,,,https://instagram.com/bodylab_atyrau,,https://wa.me/77759967966,,,,,,,47.106474,51.900537,https://2gis.com/firm/70000001052020581,branch
Umai,студия красоты,Парикмахерские; Ногтевые студии; Визажисты; Оформление бровей и ресниц,"проспект Исатая Тайманова, 48 блок F",1 этаж,,,,Атырау,Атырау городская администрация,Атырауская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.7,266,87017326600,,,,,,https://instagram.com/umai_beautyspace,,https://wa.me/77017326600,,,,,,,47.10999,51.905632,https://2gis.com/firm/70000001052126715,branch
